Region/Country/Area,,Year,Series,Value
180,Dem. Rep. of the Congo,1985,Emissions (thousand metric tons of carbon dioxide),"3,440"
180,Dem. Rep. of the Congo,2005,Emissions (thousand metric tons of carbon dioxide),"1,266"
180,Dem. Rep. of the Congo,2010,Emissions (thousand metric tons of carbon dioxide),"1,811"
180,Dem. Rep. of the Congo,2015,Emissions (thousand metric tons of carbon dioxide),"2,756"
180,Dem. Rep. of the Congo,2019,Emissions (thousand metric tons of carbon dioxide),"3,242"
180,Dem. Rep. of the Congo,2020,Emissions (thousand metric tons of carbon dioxide),"3,430"
180,Dem. Rep. of the Congo,2021,Emissions (thousand metric tons of carbon dioxide),"3,287"
180,Dem. Rep. of the Congo,1975,Emissions per capita (Kilograms of carbon dioxide),0.1
180,Dem. Rep. of the Congo,1985,Emissions per capita (Kilograms of carbon dioxide),0.1
180,Dem. Rep. of the Congo,2005,Emissions per capita (Kilograms of carbon dioxide),0
180,Dem. Rep. of the Congo,2010,Emissions per capita (Kilograms of carbon dioxide),0
180,Dem. Rep. of the Congo,2015,Emissions per capita (Kilograms of carbon dioxide),0
180,Dem. Rep. of the Congo,2019,Emissions per capita (Kilograms of carbon dioxide),0
180,Dem. Rep. of the Congo,2020,Emissions per capita (Kilograms of carbon dioxide),0
180,Dem. Rep. of the Congo,2021,Emissions per capita (Kilograms of carbon dioxide),0
208,Denmark,1975,Emissions (thousand metric tons of carbon dioxide),"55,718"
208,Denmark,1985,Emissions (thousand metric tons of carbon dioxide),"60,805"
208,Denmark,2005,Emissions (thousand metric tons of carbon dioxide),"47,050"
208,Denmark,2010,Emissions (thousand metric tons of carbon dioxide),"46,200"
208,Denmark,2015,Emissions (thousand metric tons of carbon dioxide),"31,066"
208,Denmark,2019,Emissions (thousand metric tons of carbon dioxide),"27,157"
208,Denmark,2020,Emissions (thousand metric tons of carbon dioxide),"24,463"
208,Denmark,2021,Emissions (thousand metric tons of carbon dioxide),"25,522"
208,Denmark,1975,Emissions per capita (Kilograms of carbon dioxide),11
208,Denmark,1985,Emissions per capita (Kilograms of carbon dioxide),11.9
208,Denmark,2005,Emissions per capita (Kilograms of carbon dioxide),8.7
208,Denmark,2010,Emissions per capita (Kilograms of carbon dioxide),8.3
208,Denmark,2015,Emissions per capita (Kilograms of carbon dioxide),5.5
208,Denmark,2019,Emissions per capita (Kilograms of carbon dioxide),4.7
208,Denmark,2020,Emissions per capita (Kilograms of carbon dioxide),4.2
208,Denmark,2021,Emissions per capita (Kilograms of carbon dioxide),4.4
262,Djibouti,1975,Emissions (thousand metric tons of carbon dioxide),201
262,Djibouti,1985,Emissions (thousand metric tons of carbon dioxide),365
262,Djibouti,2005,Emissions (thousand metric tons of carbon dioxide),419
262,Djibouti,2010,Emissions (thousand metric tons of carbon dioxide),523
262,Djibouti,2015,Emissions (thousand metric tons of carbon dioxide),460
262,Djibouti,2019,Emissions (thousand metric tons of carbon dioxide),452
262,Djibouti,2020,Emissions (thousand metric tons of carbon dioxide),378
262,Djibouti,2021,Emissions (thousand metric tons of carbon dioxide),397
262,Djibouti,1975,Emissions per capita (Kilograms of carbon dioxide),0.9
262,Djibouti,1985,Emissions per capita (Kilograms of carbon dioxide),0.9
262,Djibouti,2005,Emissions per capita (Kilograms of carbon dioxide),0.5
262,Djibouti,2010,Emissions per capita (Kilograms of carbon dioxide),0.6
262,Djibouti,2015,Emissions per capita (Kilograms of carbon dioxide),0.5
262,Djibouti,2019,Emissions per capita (Kilograms of carbon dioxide),0.4
262,Djibouti,2020,Emissions per capita (Kilograms of carbon dioxide),0.3
262,Djibouti,2021,Emissions per capita (Kilograms of carbon dioxide),0.4
212,Dominica,1975,Emissions (thousand metric tons of carbon dioxide),28
212,Dominica,1985,Emissions (thousand metric tons of carbon dioxide),50
212,Dominica,2005,Emissions (thousand metric tons of carbon dioxide),154
212,Dominica,2010,Emissions (thousand metric tons of carbon dioxide),174
212,Dominica,2015,Emissions (thousand metric tons of carbon dioxide),182
212,Dominica,2019,Emissions (thousand metric tons of carbon dioxide),177
212,Dominica,2020,Emissions (thousand metric tons of carbon dioxide),162
212,Dominica,2021,Emissions (thousand metric tons of carbon dioxide),163
212,Dominica,1975,Emissions per capita (Kilograms of carbon dioxide),0.4
212,Dominica,1985,Emissions per capita (Kilograms of carbon dioxide),0.7
212,Dominica,2005,Emissions per capita (Kilograms of carbon dioxide),2.2
212,Dominica,2010,Emissions per capita (Kilograms of carbon dioxide),2.5
212,Dominica,2015,Emissions per capita (Kilograms of carbon dioxide),2.6
212,Dominica,2019,Emissions per capita (Kilograms of carbon dioxide),2.5
212,Dominica,2020,Emissions per capita (Kilograms of carbon dioxide),2.2
212,Dominica,2021,Emissions per capita (Kilograms of carbon dioxide),2.3
214,Dominican Republic,1975,Emissions (thousand metric tons of carbon dioxide),"6,128"
214,Dominican Republic,1985,Emissions (thousand metric tons of carbon dioxide),"6,866"
214,Dominican Republic,2005,Emissions (thousand metric tons of carbon dioxide),"16,904"
214,Dominican Republic,2010,Emissions (thousand metric tons of carbon dioxide),"18,643"
214,Dominican Republic,2015,Emissions (thousand metric tons of carbon dioxide),"21,156"
214,Dominican Republic,2019,Emissions (thousand metric tons of carbon dioxide),"25,809"
214,Dominican Republic,2020,Emissions (thousand metric tons of carbon dioxide),"24,267"
214,Dominican Republic,2021,Emissions (thousand metric tons of carbon dioxide),"27,654"
214,Dominican Republic,1975,Emissions per capita (Kilograms of carbon dioxide),1.2
214,Dominican Republic,1985,Emissions per capita (Kilograms of carbon dioxide),1.1
214,Dominican Republic,2005,Emissions per capita (Kilograms of carbon dioxide),1.8
214,Dominican Republic,2010,Emissions per capita (Kilograms of carbon dioxide),1.9
214,Dominican Republic,2015,Emissions per capita (Kilograms of carbon dioxide),2
214,Dominican Republic,2019,Emissions per capita (Kilograms of carbon dioxide),2.4
214,Dominican Republic,2020,Emissions per capita (Kilograms of carbon dioxide),2.2
214,Dominican Republic,2021,Emissions per capita (Kilograms of carbon dioxide),2.5
218,Ecuador,1975,Emissions (thousand metric tons of carbon dioxide),"6,528"
218,Ecuador,1985,Emissions (thousand metric tons of carbon dioxide),"17,554"
218,Ecuador,2005,Emissions (thousand metric tons of carbon dioxide),"27,183"
218,Ecuador,2010,Emissions (thousand metric tons of carbon dioxide),"31,953"
218,Ecuador,2015,Emissions (thousand metric tons of carbon dioxide),"37,568"
218,Ecuador,2019,Emissions (thousand metric tons of carbon dioxide),"36,612"
218,Ecuador,2020,Emissions (thousand metric tons of carbon dioxide),"29,380"
218,Ecuador,2021,Emissions (thousand metric tons of carbon dioxide),"34,203"
218,Ecuador,1975,Emissions per capita (Kilograms of carbon dioxide),0.9
218,Ecuador,1985,Emissions per capita (Kilograms of carbon dioxide),1.9
218,Ecuador,2005,Emissions per capita (Kilograms of carbon dioxide),2
218,Ecuador,2010,Emissions per capita (Kilograms of carbon dioxide),2.1
218,Ecuador,2015,Emissions per capita (Kilograms of carbon dioxide),2.3
218,Ecuador,2019,Emissions per capita (Kilograms of carbon dioxide),2.1
218,Ecuador,2020,Emissions per capita (Kilograms of carbon dioxide),1.7
218,Ecuador,2021,Emissions per capita (Kilograms of carbon dioxide),1.9
818,Egypt,1975,Emissions (thousand metric tons of carbon dioxide),"27,153"
818,Egypt,1985,Emissions (thousand metric tons of carbon dioxide),"61,695"
818,Egypt,2005,Emissions (thousand metric tons of carbon dioxide),"144,025"
818,Egypt,2010,Emissions (thousand metric tons of carbon dioxide),"170,883"
818,Egypt,2015,Emissions (thousand metric tons of carbon dioxide),"191,608"
818,Egypt,2019,Emissions (thousand metric tons of carbon dioxide),"226,039"
818,Egypt,2020,Emissions (thousand metric tons of carbon dioxide),"203,474"
818,Egypt,2021,Emissions (thousand metric tons of carbon dioxide),"227,651"
818,Egypt,1975,Emissions per capita (Kilograms of carbon dioxide),0.7
818,Egypt,1985,Emissions per capita (Kilograms of carbon dioxide),1.2
818,Egypt,2005,Emissions per capita (Kilograms of carbon dioxide),1.8
818,Egypt,2010,Emissions per capita (Kilograms of carbon dioxide),2
818,Egypt,2015,Emissions per capita (Kilograms of carbon dioxide),2
818,Egypt,2019,Emissions per capita (Kilograms of carbon dioxide),2.1
818,Egypt,2020,Emissions per capita (Kilograms of carbon dioxide),1.9
818,Egypt,2021,Emissions per capita (Kilograms of carbon dioxide),2.1
222,El Salvador,1975,Emissions (thousand metric tons of carbon dioxide),"1,963"
222,El Salvador,1985,Emissions (thousand metric tons of carbon dioxide),"1,777"
222,El Salvador,2005,Emissions (thousand metric tons of carbon dioxide),"5,910"
222,El Salvador,2010,Emissions (thousand metric tons of carbon dioxide),"5,884"
222,El Salvador,2015,Emissions (thousand metric tons of carbon dioxide),"6,371"
222,El Salvador,2019,Emissions (thousand metric tons of carbon dioxide),"7,117"
222,El Salvador,2020,Emissions (thousand metric tons of carbon dioxide),"6,250"
222,El Salvador,2021,Emissions (thousand metric tons of carbon dioxide),"7,225"
222,El Salvador,1975,Emissions per capita (Kilograms of carbon dioxide),0.5
222,El Salvador,1985,Emissions per capita (Kilograms of carbon dioxide),0.4
222,El Salvador,2005,Emissions per capita (Kilograms of carbon dioxide),1
222,El Salvador,2010,Emissions per capita (Kilograms of carbon dioxide),1
222,El Salvador,2015,Emissions per capita (Kilograms of carbon dioxide),1
222,El Salvador,2019,Emissions per capita (Kilograms of carbon dioxide),1.1
222,El Salvador,2020,Emissions per capita (Kilograms of carbon dioxide),1
222,El Salvador,2021,Emissions per capita (Kilograms of carbon dioxide),1.1
226,Equatorial Guinea,1975,Emissions (thousand metric tons of carbon dioxide),63
226,Equatorial Guinea,1985,Emissions (thousand metric tons of carbon dioxide),70
226,Equatorial Guinea,2005,Emissions (thousand metric tons of carbon dioxide),"3,704"
226,Equatorial Guinea,2010,Emissions (thousand metric tons of carbon dioxide),"4,410"
226,Equatorial Guinea,2015,Emissions (thousand metric tons of carbon dioxide),"6,122"
226,Equatorial Guinea,2019,Emissions (thousand metric tons of carbon dioxide),"5,149"
226,Equatorial Guinea,2020,Emissions (thousand metric tons of carbon dioxide),"5,766"
226,Equatorial Guinea,2021,Emissions (thousand metric tons of carbon dioxide),"6,828"
226,Equatorial Guinea,1975,Emissions per capita (Kilograms of carbon dioxide),0.3
226,Equatorial Guinea,1985,Emissions per capita (Kilograms of carbon dioxide),0.2
226,Equatorial Guinea,2005,Emissions per capita (Kilograms of carbon dioxide),4.3
226,Equatorial Guinea,2010,Emissions per capita (Kilograms of carbon dioxide),4
226,Equatorial Guinea,2015,Emissions per capita (Kilograms of carbon dioxide),4.5
226,Equatorial Guinea,2019,Emissions per capita (Kilograms of carbon dioxide),3.3
226,Equatorial Guinea,2020,Emissions per capita (Kilograms of carbon dioxide),3.6
226,Equatorial Guinea,2021,Emissions per capita (Kilograms of carbon dioxide),4.2
232,Eritrea,2005,Emissions (thousand metric tons of carbon dioxide),582
232,Eritrea,2010,Emissions (thousand metric tons of carbon dioxide),462
232,Eritrea,2015,Emissions (thousand metric tons of carbon dioxide),492
232,Eritrea,2019,Emissions (thousand metric tons of carbon dioxide),588
232,Eritrea,2020,Emissions (thousand metric tons of carbon dioxide),597
232,Eritrea,2021,Emissions (thousand metric tons of carbon dioxide),629
232,Eritrea,2005,Emissions per capita (Kilograms of carbon dioxide),0.2
232,Eritrea,2010,Emissions per capita (Kilograms of carbon dioxide),0.1
232,Eritrea,2015,Emissions per capita (Kilograms of carbon dioxide),0.1
232,Eritrea,2019,Emissions per capita (Kilograms of carbon dioxide),0.2
232,Eritrea,2020,Emissions per capita (Kilograms of carbon dioxide),0.2
232,Eritrea,2021,Emissions per capita (Kilograms of carbon dioxide),0.2
233,Estonia,2005,Emissions (thousand metric tons of carbon dioxide),"18,232"
233,Estonia,2010,Emissions (thousand metric tons of carbon dioxide),"21,458"
233,Estonia,2015,Emissions (thousand metric tons of carbon dioxide),"16,087"
233,Estonia,2019,Emissions (thousand metric tons of carbon dioxide),"14,049"
233,Estonia,2020,Emissions (thousand metric tons of carbon dioxide),"11,124"
233,Estonia,2021,Emissions (thousand metric tons of carbon dioxide),"11,985"
233,Estonia,2005,Emissions per capita (Kilograms of carbon dioxide),13.5
233,Estonia,2010,Emissions per capita (Kilograms of carbon dioxide),16.1
233,Estonia,2015,Emissions per capita (Kilograms of carbon dioxide),12.2
233,Estonia,2019,Emissions per capita (Kilograms of carbon dioxide),10.6
233,Estonia,2020,Emissions per capita (Kilograms of carbon dioxide),8.4
233,Estonia,2021,Emissions per capita (Kilograms of carbon dioxide),9
748,Eswatini,1975,Emissions (thousand metric tons of carbon dioxide),310
748,Eswatini,1985,Emissions (thousand metric tons of carbon dioxide),405
748,Eswatini,2005,Emissions (thousand metric tons of carbon dioxide),997
748,Eswatini,2010,Emissions (thousand metric tons of carbon dioxide),981
748,Eswatini,2015,Emissions (thousand metric tons of carbon dioxide),870
748,Eswatini,2019,Emissions (thousand metric tons of carbon dioxide),"1,127"
748,Eswatini,2020,Emissions (thousand metric tons of carbon dioxide),"1,125"
748,Eswatini,2021,Emissions (thousand metric tons of carbon dioxide),"1,011"
748,Eswatini,1975,Emissions per capita (Kilograms of carbon dioxide),0.6
748,Eswatini,1985,Emissions per capita (Kilograms of carbon dioxide),0.6
748,Eswatini,2005,Emissions per capita (Kilograms of carbon dioxide),0.9
748,Eswatini,2010,Emissions per capita (Kilograms of carbon dioxide),0.9
748,Eswatini,2015,Emissions per capita (Kilograms of carbon dioxide),0.8
748,Eswatini,2019,Emissions per capita (Kilograms of carbon dioxide),1
748,Eswatini,2020,Emissions per capita (Kilograms of carbon dioxide),1
748,Eswatini,2021,Emissions per capita (Kilograms of carbon dioxide),0.8
230,Ethiopia [former],1975,Emissions (thousand metric tons of carbon dioxide),"1,137"
230,Ethiopia [former],1985,Emissions (thousand metric tons of carbon dioxide),"1,702"
230,Ethiopia [former],1975,Emissions per capita (Kilograms of carbon dioxide),0
230,Ethiopia [former],1985,Emissions per capita (Kilograms of carbon dioxide),0
231,Ethiopia,2005,Emissions (thousand metric tons of carbon dioxide),"4,466"
231,Ethiopia,2010,Emissions (thousand metric tons of carbon dioxide),"5,885"
231,Ethiopia,2015,Emissions (thousand metric tons of carbon dioxide),"9,983"
231,Ethiopia,2019,Emissions (thousand metric tons of carbon dioxide),"13,820"
231,Ethiopia,2020,Emissions (thousand metric tons of carbon dioxide),"12,368"
231,Ethiopia,2021,Emissions (thousand metric tons of carbon dioxide),"12,766"
231,Ethiopia,2005,Emissions per capita (Kilograms of carbon dioxide),0.1
231,Ethiopia,2010,Emissions per capita (Kilograms of carbon dioxide),0.1
231,Ethiopia,2015,Emissions per capita (Kilograms of carbon dioxide),0.1
231,Ethiopia,2019,Emissions per capita (Kilograms of carbon dioxide),0.1
231,Ethiopia,2020,Emissions per capita (Kilograms of carbon dioxide),0.1
231,Ethiopia,2021,Emissions per capita (Kilograms of carbon dioxide),0.1
238,Falkland Islands (Malvinas),1975,Emissions (thousand metric tons of carbon dioxide),3
238,Falkland Islands (Malvinas),1985,Emissions (thousand metric tons of carbon dioxide),16
238,Falkland Islands (Malvinas),2005,Emissions (thousand metric tons of carbon dioxide),46
238,Falkland Islands (Malvinas),2010,Emissions (thousand metric tons of carbon dioxide),43
238,Falkland Islands (Malvinas),2015,Emissions (thousand metric tons of carbon dioxide),42
238,Falkland Islands (Malvinas),2019,Emissions (thousand metric tons of carbon dioxide),42
238,Falkland Islands (Malvinas),2020,Emissions (thousand metric tons of carbon dioxide),42
238,Falkland Islands (Malvinas),2021,Emissions (thousand metric tons of carbon dioxide),40
238,Falkland Islands (Malvinas),1975,Emissions per capita (Kilograms of carbon dioxide),1.7
238,Falkland Islands (Malvinas),1985,Emissions per capita (Kilograms of carbon dioxide),8.5
238,Falkland Islands (Malvinas),2005,Emissions per capita (Kilograms of carbon dioxide),14.4
238,Falkland Islands (Malvinas),2010,Emissions per capita (Kilograms of carbon dioxide),13.6
238,Falkland Islands (Malvinas),2015,Emissions per capita (Kilograms of carbon dioxide),12.2
238,Falkland Islands (Malvinas),2019,Emissions per capita (Kilograms of carbon dioxide),11.3
238,Falkland Islands (Malvinas),2020,Emissions per capita (Kilograms of carbon dioxide),11.1
238,Falkland Islands (Malvinas),2021,Emissions per capita (Kilograms of carbon dioxide),10.7
234,Faroe Islands,1975,Emissions (thousand metric tons of carbon dioxide),362
234,Faroe Islands,1985,Emissions (thousand metric tons of carbon dioxide),535
234,Faroe Islands,2005,Emissions (thousand metric tons of carbon dioxide),747
234,Faroe Islands,2010,Emissions (thousand metric tons of carbon dioxide),646
234,Faroe Islands,2015,Emissions (thousand metric tons of carbon dioxide),628
234,Faroe Islands,2019,Emissions (thousand metric tons of carbon dioxide),762
234,Faroe Islands,2020,Emissions (thousand metric tons of carbon dioxide),783
234,Faroe Islands,2021,Emissions (thousand metric tons of carbon dioxide),810
234,Faroe Islands,1975,Emissions per capita (Kilograms of carbon dioxide),8.9
234,Faroe Islands,1985,Emissions per capita (Kilograms of carbon dioxide),11.8
234,Faroe Islands,2005,Emissions per capita (Kilograms of carbon dioxide),15.5
234,Faroe Islands,2010,Emissions per capita (Kilograms of carbon dioxide),13.4
234,Faroe Islands,2015,Emissions per capita (Kilograms of carbon dioxide),12.9
234,Faroe Islands,2019,Emissions per capita (Kilograms of carbon dioxide),14.8
234,Faroe Islands,2020,Emissions per capita (Kilograms of carbon dioxide),14.9
234,Faroe Islands,2021,Emissions per capita (Kilograms of carbon dioxide),15.3
242,Fiji,1975,Emissions (thousand metric tons of carbon dioxide),596
242,Fiji,1985,Emissions (thousand metric tons of carbon dioxide),539
242,Fiji,2005,Emissions (thousand metric tons of carbon dioxide),"1,054"
242,Fiji,2010,Emissions (thousand metric tons of carbon dioxide),"1,056"
242,Fiji,2015,Emissions (thousand metric tons of carbon dioxide),"1,270"
242,Fiji,2019,Emissions (thousand metric tons of carbon dioxide),"1,386"
242,Fiji,2020,Emissions (thousand metric tons of carbon dioxide),"1,022"
242,Fiji,2021,Emissions (thousand metric tons of carbon dioxide),"1,114"
242,Fiji,1975,Emissions per capita (Kilograms of carbon dioxide),1
242,Fiji,1985,Emissions per capita (Kilograms of carbon dioxide),0.8
242,Fiji,2005,Emissions per capita (Kilograms of carbon dioxide),1.2
242,Fiji,2010,Emissions per capita (Kilograms of carbon dioxide),1.2
242,Fiji,2015,Emissions per capita (Kilograms of carbon dioxide),1.4
242,Fiji,2019,Emissions per capita (Kilograms of carbon dioxide),1.5
242,Fiji,2020,Emissions per capita (Kilograms of carbon dioxide),1.1
242,Fiji,2021,Emissions per capita (Kilograms of carbon dioxide),1.2
246,Finland,1975,Emissions (thousand metric tons of carbon dioxide),"46,409"
246,Finland,1985,Emissions (thousand metric tons of carbon dioxide),"49,703"
246,Finland,2005,Emissions (thousand metric tons of carbon dioxide),"56,780"
246,Finland,2010,Emissions (thousand metric tons of carbon dioxide),"63,411"
246,Finland,2015,Emissions (thousand metric tons of carbon dioxide),"42,005"
246,Finland,2019,Emissions (thousand metric tons of carbon dioxide),"38,718"
246,Finland,2020,Emissions (thousand metric tons of carbon dioxide),"35,254"
246,Finland,2021,Emissions (thousand metric tons of carbon dioxide),"34,662"
246,Finland,1975,Emissions per capita (Kilograms of carbon dioxide),9.9
246,Finland,1985,Emissions per capita (Kilograms of carbon dioxide),10.1
246,Finland,2005,Emissions per capita (Kilograms of carbon dioxide),10.8
246,Finland,2010,Emissions per capita (Kilograms of carbon dioxide),11.8
246,Finland,2015,Emissions per capita (Kilograms of carbon dioxide),7.7
246,Finland,2019,Emissions per capita (Kilograms of carbon dioxide),7
246,Finland,2020,Emissions per capita (Kilograms of carbon dioxide),6.4
246,Finland,2021,Emissions per capita (Kilograms of carbon dioxide),6.3
250,France,1975,Emissions (thousand metric tons of carbon dioxide),"429,982"
250,France,1985,Emissions (thousand metric tons of carbon dioxide),"388,379"
250,France,2005,Emissions (thousand metric tons of carbon dioxide),"376,021"
250,France,2010,Emissions (thousand metric tons of carbon dioxide),"344,102"
250,France,2015,Emissions (thousand metric tons of carbon dioxide),"308,793"
250,France,2019,Emissions (thousand metric tons of carbon dioxide),"295,385"
250,France,2020,Emissions (thousand metric tons of carbon dioxide),"256,033"
250,France,2021,Emissions (thousand metric tons of carbon dioxide),"284,957"
250,France,1975,Emissions per capita (Kilograms of carbon dioxide),8.2
250,France,1985,Emissions per capita (Kilograms of carbon dioxide),7
250,France,2005,Emissions per capita (Kilograms of carbon dioxide),6.2
250,France,2010,Emissions per capita (Kilograms of carbon dioxide),5.5
250,France,2015,Emissions per capita (Kilograms of carbon dioxide),4.7
250,France,2019,Emissions per capita (Kilograms of carbon dioxide),4.4
250,France,2020,Emissions per capita (Kilograms of carbon dioxide),3.8
250,France,2021,Emissions per capita (Kilograms of carbon dioxide),4.3
254,French Guiana,1975,Emissions (thousand metric tons of carbon dioxide),119
254,French Guiana,1985,Emissions (thousand metric tons of carbon dioxide),377
254,French Guiana,2005,Emissions (thousand metric tons of carbon dioxide),538
254,French Guiana,2010,Emissions (thousand metric tons of carbon dioxide),654
254,French Guiana,1975,Emissions per capita (Kilograms of carbon dioxide),2.1
254,French Guiana,1985,Emissions per capita (Kilograms of carbon dioxide),4.3
254,French Guiana,2005,Emissions per capita (Kilograms of carbon dioxide),2.7
254,French Guiana,2010,Emissions per capita (Kilograms of carbon dioxide),2.9
258,French Polynesia,1975,Emissions (thousand metric tons of carbon dioxide),214
258,French Polynesia,1985,Emissions (thousand metric tons of carbon dioxide),604
258,French Polynesia,2005,Emissions (thousand metric tons of carbon dioxide),847
258,French Polynesia,2010,Emissions (thousand metric tons of carbon dioxide),946
258,French Polynesia,2015,Emissions (thousand metric tons of carbon dioxide),868
258,French Polynesia,2019,Emissions (thousand metric tons of carbon dioxide),911
258,French Polynesia,2020,Emissions (thousand metric tons of carbon dioxide),851
258,French Polynesia,2021,Emissions (thousand metric tons of carbon dioxide),894
258,French Polynesia,1975,Emissions per capita (Kilograms of carbon dioxide),1.6
258,French Polynesia,1985,Emissions per capita (Kilograms of carbon dioxide),3.5
258,French Polynesia,2005,Emissions per capita (Kilograms of carbon dioxide),3.1
258,French Polynesia,2010,Emissions per capita (Kilograms of carbon dioxide),3.3
258,French Polynesia,2015,Emissions per capita (Kilograms of carbon dioxide),3
258,French Polynesia,2019,Emissions per capita (Kilograms of carbon dioxide),3
258,French Polynesia,2020,Emissions per capita (Kilograms of carbon dioxide),2.8
258,French Polynesia,2021,Emissions per capita (Kilograms of carbon dioxide),2.9
266,Gabon,1975,Emissions (thousand metric tons of carbon dioxide),"2,598"
266,Gabon,1985,Emissions (thousand metric tons of carbon dioxide),"2,283"
266,Gabon,2005,Emissions (thousand metric tons of carbon dioxide),"1,695"
266,Gabon,2010,Emissions (thousand metric tons of carbon dioxide),"2,621"
266,Gabon,2015,Emissions (thousand metric tons of carbon dioxide),"3,539"
266,Gabon,2019,Emissions (thousand metric tons of carbon dioxide),"2,411"
266,Gabon,2020,Emissions (thousand metric tons of carbon dioxide),"2,704"
266,Gabon,2021,Emissions (thousand metric tons of carbon dioxide),"2,850"
266,Gabon,1975,Emissions per capita (Kilograms of carbon dioxide),4.4
266,Gabon,1985,Emissions per capita (Kilograms of carbon dioxide),2.9
266,Gabon,2005,Emissions per capita (Kilograms of carbon dioxide),1.2
266,Gabon,2010,Emissions per capita (Kilograms of carbon dioxide),1.5
266,Gabon,2015,Emissions per capita (Kilograms of carbon dioxide),1.7
266,Gabon,2019,Emissions per capita (Kilograms of carbon dioxide),1.1
266,Gabon,2020,Emissions per capita (Kilograms of carbon dioxide),1.2
266,Gabon,2021,Emissions per capita (Kilograms of carbon dioxide),1.2
270,Gambia,1975,Emissions (thousand metric tons of carbon dioxide),101
270,Gambia,1985,Emissions (thousand metric tons of carbon dioxide),176
270,Gambia,2005,Emissions (thousand metric tons of carbon dioxide),328
270,Gambia,2010,Emissions (thousand metric tons of carbon dioxide),441
270,Gambia,2015,Emissions (thousand metric tons of carbon dioxide),597
270,Gambia,2019,Emissions (thousand metric tons of carbon dioxide),730
270,Gambia,2020,Emissions (thousand metric tons of carbon dioxide),718
270,Gambia,2021,Emissions (thousand metric tons of carbon dioxide),745
270,Gambia,1975,Emissions per capita (Kilograms of carbon dioxide),0.2
270,Gambia,1985,Emissions per capita (Kilograms of carbon dioxide),0.2
270,Gambia,2005,Emissions per capita (Kilograms of carbon dioxide),0.2
270,Gambia,2010,Emissions per capita (Kilograms of carbon dioxide),0.2
270,Gambia,2015,Emissions per capita (Kilograms of carbon dioxide),0.3
270,Gambia,2019,Emissions per capita (Kilograms of carbon dioxide),0.3
270,Gambia,2020,Emissions per capita (Kilograms of carbon dioxide),0.3
270,Gambia,2021,Emissions per capita (Kilograms of carbon dioxide),0.3
268,Georgia,2005,Emissions (thousand metric tons of carbon dioxide),"4,562"
268,Georgia,2010,Emissions (thousand metric tons of carbon dioxide),"5,891"
268,Georgia,2015,Emissions (thousand metric tons of carbon dioxide),"9,035"
268,Georgia,2019,Emissions (thousand metric tons of carbon dioxide),"9,801"
268,Georgia,2020,Emissions (thousand metric tons of carbon dioxide),"9,562"
268,Georgia,2021,Emissions (thousand metric tons of carbon dioxide),"10,039"
268,Georgia,2005,Emissions per capita (Kilograms of carbon dioxide),1.2
268,Georgia,2010,Emissions per capita (Kilograms of carbon dioxide),1.5
268,Georgia,2015,Emissions per capita (Kilograms of carbon dioxide),2.4
268,Georgia,2019,Emissions per capita (Kilograms of carbon dioxide),2.6
268,Georgia,2020,Emissions per capita (Kilograms of carbon dioxide),2.5
268,Georgia,2021,Emissions per capita (Kilograms of carbon dioxide),2.7
276,Germany,2005,Emissions (thousand metric tons of carbon dioxide),"796,272"
276,Germany,2010,Emissions (thousand metric tons of carbon dioxide),"752,251"
276,Germany,2015,Emissions (thousand metric tons of carbon dioxide),"721,383"
276,Germany,2019,Emissions (thousand metric tons of carbon dioxide),"646,419"
276,Germany,2020,Emissions (thousand metric tons of carbon dioxide),"580,796"
276,Germany,2021,Emissions (thousand metric tons of carbon dioxide),"600,167"
276,Germany,2005,Emissions per capita (Kilograms of carbon dioxide),9.8
276,Germany,2010,Emissions per capita (Kilograms of carbon dioxide),9.3
276,Germany,2015,Emissions per capita (Kilograms of carbon dioxide),8.8
276,Germany,2019,Emissions per capita (Kilograms of carbon dioxide),7.8
276,Germany,2020,Emissions per capita (Kilograms of carbon dioxide),7
276,Germany,2021,Emissions per capita (Kilograms of carbon dioxide),7.2
288,Ghana,1975,Emissions (thousand metric tons of carbon dioxide),"2,422"
288,Ghana,1985,Emissions (thousand metric tons of carbon dioxide),"3,179"
288,Ghana,2005,Emissions (thousand metric tons of carbon dioxide),"6,133"
288,Ghana,2010,Emissions (thousand metric tons of carbon dioxide),"8,975"
288,Ghana,2015,Emissions (thousand metric tons of carbon dioxide),"14,612"
288,Ghana,2019,Emissions (thousand metric tons of carbon dioxide),"16,359"
288,Ghana,2020,Emissions (thousand metric tons of carbon dioxide),"18,766"
288,Ghana,2021,Emissions (thousand metric tons of carbon dioxide),"19,765"
288,Ghana,1975,Emissions per capita (Kilograms of carbon dioxide),0.2
288,Ghana,1985,Emissions per capita (Kilograms of carbon dioxide),0.2
288,Ghana,2005,Emissions per capita (Kilograms of carbon dioxide),0.3
288,Ghana,2010,Emissions per capita (Kilograms of carbon dioxide),0.4
288,Ghana,2015,Emissions per capita (Kilograms of carbon dioxide),0.5
288,Ghana,2019,Emissions per capita (Kilograms of carbon dioxide),0.5
288,Ghana,2020,Emissions per capita (Kilograms of carbon dioxide),0.6
288,Ghana,2021,Emissions per capita (Kilograms of carbon dioxide),0.6
292,Gibraltar,1975,Emissions (thousand metric tons of carbon dioxide),88
292,Gibraltar,1985,Emissions (thousand metric tons of carbon dioxide),42
