,Country,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),"Seats held by women in national parliament, as of February (%)",Labour force participation - Female,Labour force participation - Male,Labour force participation - Total,Unemployment rate - Female,Unemployment rate - Male,Unemployment rate - Total,"Assault rate per 100,000 population","Intentional homicide rates per 100,000","Kidnapping at the national level, rate per 100,000","Percentage of male and female intentional homicide victims, Female","Percentage of male and female intentional homicide victims, Male","Theft at the national level, rate per 100,000 population","Total Sexual Violence at the national level, rate per 100,000","Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)",GDP in constant 2015 prices (millions of US dollars),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),Percentage of individuals using the internet
38,Ethiopia,23.6,38.4,70.2,82.5,5.0,7.2,2290,10020,199.0,2.0,74.5,89.6,82.0,3.3,1.8,2.5,,8.6,,,,,,1.6,7.7,36.9,2.5,4.6,14.3,13323,7587,132,6.1,45.7,4.4,90.5,90.54,45.12,45.42,100.7,1104.0,0.0
39,Fiji,93.7,90.1,100.2,101.8,66.5,60.8,68,113,34.0,11.3,34.8,78.0,56.7,5.2,3.3,3.9,,2.6,,2.1,3.1,,,27.1,40.3,52.4,50.7,46.5,42.6,2996,1970,2487,2.5,30.8,7.4,49.8,0.91,0.45,0.46,101.9,18.0,1.5
40,Finland,100.5,100.6,99.4,100.1,127.8,117.6,199,382,232.0,37.0,56.8,64.9,60.7,8.6,8.2,8.4,580.8,2.3,0.0,1.3,3.3,2384.3,36.6,,97.8,,,88.1,,152727,134186,26270,4.2,16.6,24.7,17.7,5.36,2.73,2.63,96.4,337.0,37.2
41,France,105.4,106.6,104.1,105.1,108.9,106.5,3352,4015,2684.0,10.9,50.4,62.1,56.0,9.8,8.0,8.9,245.7,1.6,3.3,1.2,2.0,1380.0,39.4,98.4,98.2,98.2,,88.8,,1770422,1600997,27029,2.1,18.5,23.0,115.0,63.42,32.71,30.71,93.9,552.0,14.3
42,Georgia,100.1,103.4,102.1,104.1,72.4,74.7,213,338,103.0,7.2,56.0,73.7,64.1,12.7,14.8,13.8,9.3,10.2,2.2,3.4,17.9,410.4,4.1,39.4,66.1,87.6,48.3,34.2,22.9,4807,2844,583,2.6,18.6,18.2,56.1,3.9,2.09,1.8,86.1,70.0,0.5
43,Germany,103.3,103.6,103.4,103.5,95.2,100.2,5431,3306,2837.0,30.9,51.2,66.2,58.4,10.9,11.4,11.2,608.7,1.3,2.1,1.1,1.5,2751.4,68.0,99.8,99.9,99.9,91.0,96.4,98.0,2582288,2585619,31873,1.5,13.7,26.0,231.9,80.83,41.45,39.38,95.0,358.0,30.2
44,Ghana,58.6,67.8,84.9,90.2,14.7,20.6,1010,2930,360.0,9.0,70.2,75.7,72.9,6.1,5.5,5.8,155.1,1.7,0.4,0.6,3.1,,5.6,6.1,24.9,43.1,7.9,8.8,9.7,16399,13714,786,4.0,39.1,5.0,112.0,25.48,12.75,12.72,99.8,239.0,0.2
45,Greece,104.6,108.7,102.1,103.5,103.6,105.8,335,650,381.0,6.3,41.8,63.7,52.6,15.7,6.3,10.1,70.0,1.2,0.2,0.8,1.6,554.8,5.7,,99.4,,,84.1,90.9,168366,136886,12760,2.0,14.6,24.9,85.0,11.12,5.68,5.45,95.9,132.0,9.1
46,Guatemala,49.1,55.6,106.5,114.3,28.5,27.3,508,2345,247.0,7.1,42.0,84.3,62.7,3.5,2.8,3.1,46.4,40.6,0.4,7.8,73.9,32.8,2.4,42.5,51.7,61.5,,,,30508,12858,1241,5.0,39.3,5.8,135.3,14.5,7.3,7.2,98.6,109.0,0.7
47,Guinea-Bissau,15.5,27.5,61.5,90.0,7.2,13.1,20,150,6.0,7.8,48.5,65.7,56.7,2.8,3.7,3.3,190.1,3.5,3.5,,,57.2,,8.2,20.7,39.4,3.8,7.1,12.0,676,800,716,4.0,43.2,4.5,55.7,1.57,0.8,0.77,96.0,36.0,0.2
48,Guyana,100.8,100.0,103.1,104.1,60.2,58.0,53,117,18.0,18.5,35.8,77.2,56.3,14.0,9.7,11.1,1495.1,18.7,0.3,7.4,30.1,522.2,31.5,,,,54.7,50.5,39.1,1522,991,1319,5.0,32.2,7.2,3.8,0.75,0.38,0.37,99.1,215.0,0.6
49,Honduras,67.1,55.7,102.5,101.9,76.1,54.2,336,1232,251.0,9.4,41.3,81.9,61.7,6.5,4.1,4.9,14.3,42.5,0.5,9.2,136.9,53.0,16.0,41.5,54.0,65.6,58.6,48.7,39.5,10138,4724,813,4.1,38.1,4.9,76.7,8.37,4.15,4.22,101.7,112.0,1.2
50,Hungary,99.8,101.4,100.2,101.7,94.2,94.3,489,431,472.0,8.3,43.0,58.3,50.2,7.4,7.0,7.2,122.5,1.6,0.1,1.4,1.8,1253.3,8.5,81.0,87.0,89.7,69.2,74.7,77.3,79281,46439,4497,1.5,14.7,22.5,110.2,9.98,5.24,4.74,90.5,93.0,7.0
51,Iceland,99.1,99.3,98.3,100.0,118.3,114.9,14,31,20.0,34.9,70.9,80.9,75.9,2.5,2.6,2.6,17.9,1.0,,0.0,2.0,1070.9,97.0,,95.5,,,,,9144,7124,26612,0.1,20.9,17.0,3.2,0.32,0.16,0.16,101.2,103.0,44.5
52,India,62.7,73.9,104.2,108.0,33.0,44.4,46845,125569,34205.0,9.0,30.1,77.8,54.6,9.0,8.6,8.7,23.5,3.9,2.0,2.7,5.0,23.7,5.4,43.8,,,23.8,25.6,29.7,608291,371783,386,7.6,31.3,7.5,418.2,1243.48,600.38,643.1,107.1,3287.0,0.5
53,Indonesia,77.1,74.1,110.1,111.8,48.9,50.2,9682,29150,6311.0,8.0,46.0,82.8,64.4,10.0,6.8,7.9,13.1,0.6,0.2,,,10.0,1.9,20.8,26.8,32.9,,,,380896,236456,1188,8.2,27.9,8.6,128.9,246.31,122.66,123.64,100.8,1911.0,0.9
