,Country,Region,Year,Status,PR rating,CL rating,PR,CL,Total,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),"Seats held by women in national parliament, as of February (%)",Labour force participation - Female,Labour force participation - Male,Labour force participation - Total,Unemployment rate - Female,Unemployment rate - Male,Unemployment rate - Total,"Assault rate per 100,000 population","Intentional homicide rates per 100,000","Kidnapping at the national level, rate per 100,000","Percentage of male and female intentional homicide victims, Female","Percentage of male and female intentional homicide victims, Male","Theft at the national level, rate per 100,000 population","Total Sexual Violence at the national level, rate per 100,000","Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)",GDP in constant 2015 prices (millions of US dollars),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),Percentage of individuals using the internet
863,Kosovo,Europe,2019,PF,3,4,24,30,54,,,,,,,,,,,,,,,,,16.3,1.4,1.2,0.4,2.5,286.4,9.1,,,,,,,,,,,,,,,,,,,
760,Kosovo,Europe,2020,PF,3,4,25,31,56,,,,,,,,,,,,,,,,,16.4,2.2,0.9,1.0,3.5,252.8,,,,,,,,7142.0,7734.0,4630.0,-5.3,,,,,,,,,
589,Kosovo,Europe,2021,PF,4,4,23,31,54,,,,,,,,,,,,,,,,,19.0,2.0,0.6,0.4,3.6,,,,,,,,,7909.0,9412.0,5663.0,10.7,,,,,,,,,
417,Kosovo,Europe,2022,PF,3,4,25,31,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8322.0,9397.0,5662.0,5.2,,,,,,,,,
81,Kosovo,Europe,2024,PF,3,4,28,32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,14.8,154.5,1.68,0.86,0.83,96.8,,
1014,Kuwait,Middle East,2015,PF,5,5,14,23,37,,,105.0,99.2,,,,264.0,,1.5,49.6,87.3,72.8,4.8,1.3,2.2,,,,,,,,,100.0,100.0,,100.0,100.0,114585.0,114585.0,29315.0,0.6,21.8,4.6,215.2,3.83,1.58,2.25,142.4,,82.0
761,Kuwait,Middle East,2020,PF,5,5,13,23,36,,,,,,,,,,6.4,,,,,,,,0.3,,1.1,1.1,,,,,,,,,104343.0,105949.0,24298.0,-8.9,,,,,,,,,99.1
590,Kuwait,Middle East,2021,PF,5,5,14,23,37,,,,,,,,265.0,,1.5,,,,,,,,,,,,,,,,,,,,105539.0,137383.0,32325.0,1.1,,,,,,,,,99.7
418,Kuwait,Middle East,2022,PF,5,5,14,23,37,,,,,,,,,,1.6,,,,,,,,,,,,,,,100.0,100.0,,100.0,100.0,114893.0,175363.0,41079.0,8.9,19.2,5.1,257.6,4.59,1.79,2.8,156.8,18.0,99.8
250,Kuwait,Middle East,2023,PF,5,5,14,23,37,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Kuwait,Middle East,2024,PF,5,5,14,24,38,,,,,,,,,,3.1,47.5,85.8,71.3,5.7,0.9,2.1,,,,,,,,,,,,,,,,,,18.2,5.9,276.9,4.93,1.92,3.02,157.2,,
1015,Kyrgyzstan,Eurasia,2015,PF,5,5,14,24,38,92.7,95.4,99.7,102.3,82.4,79.0,472.0,451.0,171.0,23.3,54.8,76.4,65.2,3.5,3.2,3.3,6.1,,0.9,,,167.3,,53.7,66.9,90.6,95.8,91.4,83.6,6678.0,6678.0,1129.0,3.9,31.8,8.1,31.3,6.0,3.02,2.98,98.8,,30.2
887,Kyrgyzstan,Eurasia,2018,PF,5,5,12,25,37,,,,,,,,,,,,,,,,,0.9,,0.3,,,196.8,,,,,,,,,,,,,,,,,,,,
762,Kyrgyzstan,Eurasia,2020,PF,5,4,12,27,39,,,,,,,,,,19.2,,,,,,,0.5,,,,,244.0,,,,,,,,7255.0,7781.0,1211.0,-8.4,,,,,,,,,72.0
591,Kyrgyzstan,Eurasia,2021,NF,7,5,4,24,28,,,,,,,,,,17.1,,,,,,,,,,,,,,,,,,,,7703.0,8741.0,1339.0,6.2,,,,,,,,,74.6
419,Kyrgyzstan,Eurasia,2022,NF,7,5,4,23,27,96.2,98.4,93.5,94.8,86.7,88.9,624.0,585.0,189.0,20.5,,,,,,,,,,,,,,67.3,76.5,91.8,96.5,92.6,86.3,8244.0,10931.0,1649.0,7.0,32.9,8.9,36.3,6.96,3.52,3.44,97.8,200.0,79.8
251,Kyrgyzstan,Eurasia,2023,NF,7,5,4,23,27,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Kyrgyzstan,Eurasia,2024,NF,7,5,4,23,27,,,,,,,,,,21.1,53.4,78.9,65.6,4.3,3.9,4.1,,,,,,,,,,,,,,,,,,32.3,9.5,37.5,7.19,3.63,3.55,97.8,,
1016,Latvia,Europe,2015,F,2,2,34,51,85,101.5,104.4,99.4,99.4,121.4,122.9,55.0,117.0,62.0,18.0,54.1,67.4,60.1,8.6,11.1,9.9,26.8,3.4,0.9,2.7,4.1,973.3,23.4,,95.1,,,78.6,,27252.0,27252.0,13681.0,3.9,15.1,25.7,31.8,1.98,1.07,0.91,84.8,,79.2
763,Latvia,Europe,2020,F,1,2,37,52,89,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,29089.0,34391.0,18129.0,-3.5,,,,,,,,,88.9
592,Latvia,Europe,2021,F,1,2,37,52,89,,,,,,,,,,29.0,,,,,,,29.3,3.0,0.3,3.6,2.4,421.6,17.9,,96.8,,,85.2,,31047.0,39443.0,21048.0,6.7,,,,,,,,,91.2
420,Latvia,Europe,2022,F,1,2,37,51,88,100.2,101.1,99.5,99.4,110.8,108.1,63.0,119.0,61.0,27.0,,,,,,,29.1,3.6,0.6,4.0,3.0,522.0,,,97.1,,,,,32089.0,40876.0,22088.0,3.4,15.9,28.2,30.2,1.88,1.01,0.87,86.2,65.0,91.0
252,Latvia,Europe,2023,F,1,2,37,51,88,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Latvia,Europe,2024,F,1,2,37,51,88,,,,,,,,,,32.0,55.9,68.5,61.7,5.3,7.9,6.6,,,,,,,,,,,,,,,,,,15.4,28.8,30.1,1.87,1.0,0.87,86.4,,
1017,Lebanon,Middle East,2015,PF,5,4,14,30,44,,,,,,,205.0,491.0,177.0,3.1,26.1,68.7,47.1,12.7,7.8,9.2,121.4,3.6,15.7,0.7,4.0,391.2,3.2,,46.9,,,24.3,,49929.0,49929.0,7803.0,0.5,25.8,10.6,632.7,6.47,3.25,3.22,98.9,,74.0
923,Lebanon,Middle East,2016,PF,5,4,13,30,43,,,,,,,,,,,,,,,,,119.7,3.8,,0.7,3.5,,3.0,,,,,,,,,,,,,,,,,,,
764,Lebanon,Middle East,2020,PF,5,4,14,30,44,,,,,,,,,,4.7,,,,,,,,2.3,,1.0,5.6,,0.8,,,,,,,34622.0,39009.0,6888.0,-25.9,,,,,,,,,87.9
593,Lebanon,Middle East,2021,PF,5,4,13,30,43,,,,,,,,,,4.7,,,,,,,,,,,,,0.3,,,,,,,31160.0,36718.0,6565.0,-10.0,,,,,,,,,87.9
421,Lebanon,Middle East,2022,PF,5,4,13,29,42,,,,,,,212.0,520.0,198.0,4.7,,,,,,,,,,,,,,,47.7,,,25.7,,31160.0,39303.0,7159.0,0.0,27.2,13.9,561.5,5.74,2.95,2.79,94.5,10.0,90.1
253,Lebanon,Middle East,2023,PF,5,4,14,29,43,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Lebanon,Middle East,2024,PF,5,4,13,29,42,,,,,,,,,,6.3,27.5,65.3,45.4,14.7,10.0,11.5,,,,,,,,,,,,,,,,,,26.2,14.7,567.5,5.81,2.98,2.82,94.7,,
1018,Lesotho,Africa,2015,F,2,3,30,41,71,78.2,58.9,105.9,111.8,49.8,37.9,93.0,362.0,40.0,26.7,57.3,73.1,65.0,18.3,14.5,16.2,,,,,,,,7.0,23.0,66.2,40.0,38.4,34.0,2360.0,2360.0,1114.0,3.1,36.6,5.8,69.3,2.1,1.08,1.02,94.5,,25.0
907,Lesotho,Africa,2017,PF,3,3,27,37,64,80.6,61.6,106.9,113.1,49.3,35.0,99.0,368.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,Lesotho,Africa,2020,PF,3,3,27,36,63,,,,,,,,,,23.3,,,,,,,,,,,,,,,,,,,,2128.0,2052.0,910.0,-7.5,,,,,,,,,40.4
594,Lesotho,Africa,2021,PF,3,3,27,36,63,,,,,,,,,,23.3,,,,,,,,,,,,,,,,,,,,2168.0,2407.0,1055.0,1.9,,,,,,,,,43.7
422,Lesotho,Africa,2022,PF,3,3,27,36,63,,,86.6,90.7,,,,316.0,,24.4,,,,,,,,,,,,,,9.2,28.2,72.6,51.0,47.5,39.4,2192.0,2287.0,992.0,1.1,35.3,5.8,75.3,2.29,1.17,1.11,94.9,30.0,47.0
254,Lesotho,Africa,2023,F,2,3,30,36,66,,,,,,,,,,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Lesotho,Africa,2024,F,2,3,30,36,66,,,,,,,,,,25.0,57.4,72.8,64.9,18.2,14.3,16.1,,,,,,,,,,,,,,,,,,34.5,5.8,77.0,2.34,1.2,1.14,95.0,,
1019,Liberia,Africa,2015,PF,3,4,26,30,56,38.0,48.8,84.7,95.5,24.4,33.6,142.0,684.0,85.0,11.0,71.9,82.3,77.0,2.1,3.0,2.6,,,,,,,,,,,,,,2669.0,2669.0,579.0,9.3,42.4,5.0,48.4,4.66,2.34,2.32,99.1,,10.0
766,Liberia,Africa,2020,PF,3,4,27,33,60,43.0,44.6,72.2,73.6,30.4,31.7,168.0,608.0,106.0,12.3,,,,,,,,,,,,,,,,,,,,2615.0,2481.0,488.0,-2.9,,,,,,,,,27.5
595,Liberia,Africa,2021,PF,3,4,27,33,60,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,2746.0,2864.0,551.0,5.0,,,,,,,,,27.8
423,Liberia,Africa,2022,PF,3,4,27,33,60,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,2878.0,3265.0,616.0,4.8,40.5,5.2,55.8,5.37,2.69,2.68,99.6,111.0,30.1
255,Liberia,Africa,2023,PF,3,4,27,33,60,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Liberia,Africa,2024,PF,2,4,30,34,64,,,,,,,,,,11.0,72.6,81.5,77.0,2.1,3.4,2.8,,,,,,,,,,,,,,,,,,39.5,5.3,58.3,5.61,2.81,2.8,99.7,,
1020,Libya,Africa,2015,NF,6,6,8,15,23,,,,,,,,,,16.0,33.9,61.1,47.6,25.7,16.4,19.7,,,,,,,,,,,,24.1,,48718.0,48718.0,7868.0,-0.8,31.0,6.5,3.9,6.53,3.19,3.34,104.6,,
767,Libya,Africa,2020,NF,7,6,1,8,9,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,42984.0,46842.0,7040.0,-29.5,,,,,,,,,87.6
596,Libya,Africa,2021,NF,7,6,1,8,9,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,55145.0,39006.0,5791.0,28.3,,,,,,,,,84.3
424,Libya,Africa,2022,NF,7,6,1,8,9,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,23.8,,44923.0,40537.0,5951.0,-18.5,28.5,7.6,4.3,7.22,3.55,3.67,103.5,1676.0,88.4
256,Libya,Africa,2023,NF,7,6,1,9,10,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Libya,Africa,2024,NF,7,6,1,8,9,,,,,,,,,,16.5,35.0,61.6,48.4,24.3,14.6,18.1,,,,,,,,,,,,,,,,,,27.4,8.2,4.4,7.38,3.63,3.75,103.4,,
1140,Liechtenstein,Europe,2013,F,1,1,39,59,98,,,,,,,,,,,53.5,70.6,61.9,3.1,2.3,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Liechtenstein,Europe,2015,F,1,1,39,59,98,94.1,101.9,104.8,106.5,110.9,167.5,2.0,2.0,2.0,20.0,,,,,,,216.8,0.0,0.0,0.0,0.0,516.7,24.1,,100.0,,,96.2,,6269.0,6269.0,167809.0,0.0,15.0,22.7,233.8,0.04,0.02,0.02,98.6,,96.6
768,Liechtenstein,Europe,2020,F,2,1,33,57,90,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,6656.0,6406.0,165287.0,-0.7,,,,,,,,,94.3
597,Liechtenstein,Europe,2021,F,2,1,33,57,90,99.7,103.1,100.8,103.3,121.0,160.7,2.0,2.0,2.0,12.0,,,,,,,153.7,5.1,0.0,5.1,5.2,471.3,15.4,,,,,,,6695.0,7710.0,197505.0,0.6,,,,,,,,,95.6
425,Liechtenstein,Europe,2022,F,2,1,33,57,90,,,,,,,,,,28.0,,,,,,,259.4,,0.0,,,645.9,35.6,,100.0,,,96.2,,6885.0,7758.0,197268.0,2.8,14.4,26.9,245.7,0.04,0.02,0.02,98.6,0.0,96.8
257,Liechtenstein,Europe,2023,F,2,1,33,57,90,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Liechtenstein,Europe,2024,F,2,1,33,57,90,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,14.3,28.4,249.2,0.04,0.02,0.02,98.7,,
1022,Lithuania,Europe,2015,F,1,1,38,53,91,102.0,106.0,101.9,102.2,114.0,119.6,183.0,108.0,81.0,23.4,54.2,64.8,59.0,8.2,10.1,9.1,7.2,5.8,0.0,3.1,9.0,768.7,8.9,,92.3,98.8,80.9,90.0,94.4,41419.0,41419.0,13975.0,2.0,14.6,24.8,46.4,2.91,1.57,1.34,85.4,,71.4
769,Lithuania,Europe,2020,F,1,1,38,53,91,,,,,,,,,,24.1,,,,,,,,,,,,,,,,,,,,48186.0,56965.0,20198.0,0.0,,,,,,,,,83.1
598,Lithuania,Europe,2021,F,1,2,38,52,90,105.8,106.7,101.3,101.5,115.6,121.9,168.0,117.0,60.0,27.7,,,,,,,,,,,,,,,,,,,,51214.0,66799.0,23971.0,6.3,,,,,,,,,86.9
426,Lithuania,Europe,2022,F,1,2,38,51,89,,,,,,,,,,28.4,,,,,,,5.3,2.4,0.0,2.0,2.9,350.1,5.1,,95.0,99.3,90.5,95.3,97.5,52464.0,70878.0,25773.0,2.4,15.0,27.4,45.0,2.82,1.49,1.33,89.0,65.0,87.7
258,Lithuania,Europe,2023,F,1,2,38,51,89,,,,,,,,,,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Lithuania,Europe,2024,F,1,2,38,51,89,,,,,,,,,,29.3,57.1,68.3,62.2,6.1,6.7,6.4,,,,,,,,,,,,,,,,,,14.7,27.4,45.7,2.86,1.51,1.35,89.4,,
1122,Luxembourg,Europe,2014,F,1,1,39,60,99,,,,,,,,,,,,,,,,,130.9,0.7,9.4,0.7,0.7,1844.9,64.6,,,,,,,,,,,,,,,,,,,
1023,Luxembourg,Europe,2015,F,1,1,38,60,98,114.5,113.6,97.6,97.2,100.4,94.4,22.0,36.0,25.0,28.3,54.6,65.4,60.0,7.3,6.1,6.7,106.8,0.9,9.3,,,1614.5,57.6,98.0,99.6,99.8,86.6,93.5,94.3,60047.0,60047.0,105456.0,2.3,16.6,19.3,219.9,0.57,0.28,0.29,100.6,,96.4
770,Luxembourg,Europe,2020,F,1,1,38,60,98,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,65925.0,73699.0,116909.0,-0.9,,,,,,,,,98.5
599,Luxembourg,Europe,2021,F,1,1,38,59,97,111.1,118.6,98.5,98.4,104.6,95.8,23.0,41.0,26.0,31.7,,,,,,,,,,,,,,,,,,,,70651.0,85584.0,133867.0,7.2,,,,,,,,,98.7
427,Luxembourg,Europe,2022,F,1,1,38,59,97,,,,,,,,,,33.3,,,,,,,107.5,1.5,8.0,1.6,1.5,2511.4,60.5,96.5,99.5,99.8,88.5,95.8,96.4,71626.0,81531.0,125897.0,1.4,15.9,20.6,252.2,0.65,0.32,0.33,101.4,3.0,98.2
259,Luxembourg,Europe,2023,F,1,1,38,59,97,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Luxembourg,Europe,2024,F,1,1,38,59,97,,,,,,,,,,33.3,57.4,67.0,62.2,5.3,5.5,5.4,,,,,,,,,,,,,,,,,,15.8,21.5,259.9,0.67,0.33,0.34,101.3,,
1024,Madagascar,Africa,2015,PF,4,4,22,30,52,49.5,48.3,143.4,142.4,21.7,22.9,1163.0,4764.0,374.0,20.5,83.3,89.0,86.1,1.8,1.8,1.8,8.8,,0.0,,,0.9,4.5,8.6,17.4,33.6,7.2,9.3,13.3,11323.0,11323.0,456.0,3.1,42.0,4.7,43.7,25.43,12.67,12.75,100.6,,4.2
771,Madagascar,Africa,2020,PF,3,3,26,35,61,,,,,,,,,,15.9,,,,,,,,,,,,,,,,,,,,12245.0,13056.0,463.0,-7.1,,,,,,,,,15.8
600,Madagascar,Africa,2021,PF,3,4,27,33,60,45.4,42.1,147.8,143.6,22.9,22.2,1200.0,5349.0,423.0,17.9,,,,,,,,,,,,,,,,,,,,12948.0,14555.0,503.0,5.7,,,,,,,,,18.1
428,Madagascar,Africa,2022,PF,3,4,27,34,61,,,140.4,136.1,,,,5125.0,,18.5,,,,,,,,,,,,,,9.6,22.2,41.3,9.7,12.3,16.3,13440.0,14955.0,505.0,3.8,39.9,5.2,52.3,30.44,15.17,15.27,100.6,587.0,20.6
260,Madagascar,Africa,2023,PF,3,4,27,34,61,,,,,,,,,,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Madagascar,Africa,2024,PF,3,4,24,34,58,,,,,,,,,,18.5,82.6,87.8,85.2,1.8,1.8,1.8,,,,,,,,,,,,,,,,,,39.3,5.4,54.9,31.97,15.93,16.03,100.6,,
1025,Malawi,Africa,2015,PF,3,4,27,34,61,45.5,50.5,138.0,138.6,20.3,25.3,795.0,4205.0,167.0,16.7,65.2,74.4,69.6,5.8,4.1,4.9,,,,,,,,7.0,13.6,47.3,31.5,31.6,32.4,8216.0,8216.0,485.0,8.5,45.4,4.3,180.7,17.09,8.77,8.32,94.8,,6.0
772,Malawi,Africa,2020,PF,3,3,26,36,62,,,,,,,,,,22.9,,,,,,,,,,,,,,,,,,,,10886.0,11769.0,607.0,0.8,,,,,,,,,22.2
601,Malawi,Africa,2021,PF,3,3,29,37,66,,,,,,,,,,22.9,,,,,,,,,,,,,,,,,,,,11382.0,12505.0,629.0,4.6,,,,,,,,,26.9
429,Malawi,Africa,2022,PF,3,3,29,37,66,43.0,41.1,128.7,124.2,19.8,21.8,893.0,4288.0,204.0,22.9,,,,,,,,,,,,,,10.2,17.8,52.4,47.3,46.2,41.2,11487.0,12559.0,615.0,0.9,41.9,4.0,217.5,20.57,10.54,10.03,95.2,118.0,27.7
261,Malawi,Africa,2023,PF,3,3,29,37,66,,,,,,,,,,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Malawi,Africa,2024,PF,3,3,29,37,66,,,,,,,,,,20.7,63.7,74.5,68.9,5.9,4.1,5.0,,,,,,,,,,,,,,,,,,40.7,4.0,229.0,21.66,11.09,10.57,95.3,,
1026,Malaysia,Asia,2015,PF,4,4,19,27,46,89.0,85.0,98.9,98.7,87.7,77.0,1433.0,3108.0,1369.0,10.4,50.7,78.1,64.7,3.4,2.9,3.1,,1.6,,,,,,,93.6,,,81.2,,301355.0,301355.0,9700.0,5.1,25.8,9.0,95.1,31.23,14.88,16.35,109.9,,71.1
773,Malaysia,Asia,2020,PF,4,4,21,31,52,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,344423.0,337339.0,10161.0,-5.5,,,,,,,,,89.6
602,Malaysia,Asia,2021,PF,4,4,21,30,51,,,,,,,,,,14.9,,,,,,,12.1,0.7,,,,,9.6,,,,,,,355073.0,372981.0,11109.0,3.1,,,,,,,,,96.8
430,Malaysia,Asia,2022,PF,4,4,20,30,50,92.1,91.3,97.6,97.9,81.9,73.9,1391.0,3024.0,1243.0,15.0,,,,,,,,,,,,,,,93.9,,,86.0,,385944.0,406306.0,11972.0,8.7,22.8,10.9,105.6,34.7,16.49,18.2,110.4,331.0,97.4
262,Malaysia,Asia,2023,PF,4,4,22,31,53,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Malaysia,Asia,2024,PF,4,4,22,31,53,,,,,,,,,,13.5,51.5,77.7,64.8,3.8,3.5,3.6,,,,,,,,,,,,,,,,,,21.8,11.6,108.2,35.56,16.94,18.62,109.9,,
1141,Maldives,Asia,2013,PF,5,4,17,29,46,,,,,,,,,,,,,,,,,,0.7,2.0,,,1667.7,143.0,,,,,,,,,,,,,,,,,,,
1027,Maldives,Asia,2015,PF,4,4,20,28,48,105.5,101.3,100.9,97.3,,,18.0,42.0,,5.9,40.0,69.9,57.6,6.4,6.7,6.6,85.4,0.9,7.1,,1.6,,126.3,,,,,,,4130.0,4130.0,9480.0,4.0,23.2,5.7,1427.2,0.43,0.18,0.25,144.2,,54.5
908,Maldives,Asia,2017,PF,5,5,17,23,40,,,,,,,,,,,,,,,,,74.9,7.2,7.2,2.5,10.6,,90.0,,,,,,,,,,,,,,,,,,,
864,Maldives,Asia,2019,PF,5,5,14,21,35,96.9,97.7,99.2,95.3,37.5,27.4,16.0,49.0,4.0,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
774,Maldives,Asia,2020,PF,4,5,18,22,40,94.7,88.9,99.6,96.3,,,17.0,51.0,,4.6,,,,,,,,,,,,,,,,,,,,3686.0,3713.0,7217.0,-32.9,,,,,,,,,79.1
603,Maldives,Asia,2021,PF,4,5,19,21,40,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,5075.0,5254.0,10076.0,37.7,,,,,,,,,85.2
431,Maldives,Asia,2022,PF,4,5,19,21,40,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,5780.0,6171.0,11781.0,13.9,20.4,6.7,1747.0,0.52,0.2,0.33,164.8,0.0,83.9
263,Maldives,Asia,2023,PF,4,5,19,22,41,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Maldives,Asia,2024,PF,4,5,21,23,44,,,,,,,,,,5.0,42.5,78.2,63.4,3.7,4.5,4.3,,,,,,,,,,,,,,,,,,19.6,7.5,1759.3,0.53,0.2,0.33,162.6,,
1028,Mali,Africa,2015,PF,5,4,17,27,44,45.8,54.0,68.0,76.2,23.5,33.8,632.0,2227.0,314.0,9.5,61.2,79.7,70.6,1.3,1.5,1.4,,,,,,,,,,,15.9,12.3,6.9,13095.0,13095.0,723.0,7.5,48.0,4.1,15.2,18.59,9.21,9.39,102.0,,10.3
775,Mali,Africa,2020,PF,5,5,17,24,41,43.7,48.3,70.6,78.6,20.6,25.5,719.0,2734.0,314.0,9.5,,,,,,,,,,,,,,,,,,,,17388.0,17465.0,823.0,0.7,,,,,,,,,28.3
604,Mali,Africa,2021,NF,6,5,9,24,33,42.8,47.4,69.2,76.0,,,730.0,2743.0,,27.3,,,,,,,,,,,,,,,,,,,,18014.0,19309.0,882.0,3.6,,,,,,,,,30.5
432,Mali,Africa,2022,NF,6,5,8,24,32,,,,,,,,,,26.5,,,,,,,,,,,,,,,,,22.9,15.9,7.5,19314.0,18827.0,833.0,7.2,46.8,3.8,18.9,23.07,11.43,11.64,101.9,1240.0,33.1
264,Mali,Africa,2023,NF,6,5,8,21,29,,,,,,,,,,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Mali,Africa,2024,NF,6,5,6,20,26,,,,,,,,,,28.6,52.0,82.2,67.2,3.2,3.3,3.2,,,,,,,,,,,,,,,,,,46.1,3.7,20.1,24.48,12.13,12.35,101.8,,
1029,Malta,Europe,2015,F,1,1,39,58,97,102.0,102.9,101.6,99.1,94.8,86.2,13.0,25.0,17.0,12.9,42.8,67.8,55.4,5.4,5.4,5.4,40.1,0.9,0.0,0.9,0.9,1895.2,22.8,,99.9,,,89.0,,11087.0,11087.0,24283.0,9.6,14.2,24.8,1412.6,0.45,0.22,0.22,100.9,,76.0
776,Malta,Europe,2020,F,2,1,35,55,90,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,13433.0,15253.0,29596.0,-8.1,,,,,,,,,86.9
605,Malta,Europe,2021,F,2,1,35,55,90,,,,,,,,,,13.4,,,,,,,32.5,0.4,0.0,0.0,0.7,665.2,26.2,,,,,,,15085.0,18087.0,34337.0,12.3,,,,,,,,,87.5
433,Malta,Europe,2022,F,2,1,35,54,89,99.5,101.9,93.6,93.5,105.7,103.0,14.0,27.0,18.0,13.4,,,,,,,41.3,1.5,0.0,,,672.1,26.4,,99.8,,,88.2,,16128.0,18101.0,33942.0,6.9,13.2,25.2,1676.8,0.53,0.25,0.27,107.9,0.0,91.5
265,Malta,Europe,2023,F,2,1,35,54,89,,,,,,,,,,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Malta,Europe,2024,F,2,2,35,52,87,,,,,,,,,,27.9,56.9,74.1,65.9,2.5,2.4,2.4,,,,,,,,,,,,,,,,,,13.0,26.0,1713.0,0.54,0.26,0.28,107.9,,
1030,Marshall Islands,Asia,2015,F,1,1,36,55,91,100.9,91.8,109.6,110.1,77.3,66.3,4.0,8.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,183.0,183.0,3704.0,2.1,37.5,5.2,271.1,0.05,0.02,0.03,105.3,,19.3
777,Marshall Islands,Asia,2020,F,1,1,38,55,93,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,219.0,242.0,5568.0,-1.8,,,,,,,,,71.2
606,Marshall Islands,Asia,2021,F,1,1,38,55,93,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,221.0,260.0,6172.0,1.1,,,,,,,,,72.2
434,Marshall Islands,Asia,2022,F,1,1,38,55,93,148.5,148.0,106.5,103.8,104.6,91.0,3.0,6.0,3.0,6.1,,,,,,,,,,,,,,,,,,,,225.0,280.0,6728.0,1.5,34.6,6.8,222.7,0.04,0.02,0.02,105.1,0.0,73.2
266,Marshall Islands,Asia,2023,F,1,1,38,55,93,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Marshall Islands,Asia,2024,F,1,1,38,55,93,,,,,,,,,,12.1,,,,,,,,,,,,,,,,,,,,,,,,34.5,7.7,208.6,0.04,0.02,0.02,105.1,,
1031,Mauritania,Africa,2015,NF,6,5,9,22,31,35.2,39.6,97.3,95.4,19.2,24.2,135.0,633.0,52.0,25.2,26.7,59.0,42.1,11.9,9.2,10.1,,,,,,,,,,,,,,6167.0,6167.0,1563.0,5.4,44.3,5.3,3.8,3.97,2.03,1.93,95.0,,17.6
